Date,Value
5/6/18,450117
5/5/18,513487
5/4/18,501839
5/3/18,468950
5/2/18,490968
5/1/18,480942
4/30/18,415426
4/29/18,429928
4/28/18,502991
4/27/18,482588
4/26/18,476859
4/25/18,548251
4/24/18,488405
4/23/18,396697
4/22/18,437087
4/21/18,509922
4/20/18,499809
4/19/18,451616
4/18/18,451452
4/17/18,433711
4/16/18,408544
4/15/18,363642
4/14/18,503405
4/13/18,442157
4/12/18,399072
4/11/18,414048
4/10/18,384889
4/9/18,311299
4/8/18,331188
4/7/18,471570
4/6/18,398397
4/5/18,432977
4/4/18,435410
4/3/18,377673
4/2/18,316428
4/1/18,332752
3/31/18,449629
3/30/18,428777
3/29/18,395195
3/28/18,414090
3/27/18,416731
3/26/18,318932
3/25/18,360666
3/24/18,430896
3/23/18,418187
3/22/18,424455
3/21/18,423962
3/20/18,421647
3/19/18,382257
3/18/18,352698
3/17/18,457060
3/16/18,459149
3/15/18,418368
3/14/18,419994
3/13/18,426764
3/12/18,349040
3/11/18,354482
3/10/18,487166
3/9/18,439933
3/8/18,474916
3/7/18,453773
3/6/18,457316
3/5/18,383191
3/4/18,416966
3/3/18,524246
3/2/18,514904
3/1/18,469400
2/28/18,494787
2/27/18,435989
2/26/18,355805
2/25/18,355221
2/24/18,424502
2/23/18,499533
2/22/18,459675
2/21/18,455116
2/20/18,436341
2/19/18,378869
2/18/18,401860
2/17/18,422415
2/16/18,475029
2/15/18,450367
2/14/18,414749
2/13/18,437380
2/12/18,368624
2/11/18,421547
2/10/18,462086
2/9/18,398607
2/8/18,489402
2/7/18,589896
2/6/18,486553
2/5/18,396694
2/4/18,436196
2/3/18,551198
2/2/18,591550
2/1/18,481100
1/31/18,531440
1/30/18,532630
1/29/18,492738
1/28/18,541699
1/27/18,514621
1/26/18,539581
1/25/18,576212
1/24/18,547568
1/23/18,574420
1/22/18,522861
1/21/18,559711
1/20/18,578406
1/19/18,744189
1/18/18,768381
1/17/18,737398
1/16/18,670839
1/15/18,592041
1/14/18,652049
1/13/18,747265
1/12/18,822010
1/11/18,876989
1/10/18,919149
1/9/18,895996
1/8/18,910004
1/7/18,889098
1/6/18,888402
1/5/18,1054711
1/4/18,937530
1/3/18,850801
1/2/18,593282
1/1/18,678712
12/31/17,815099
12/30/17,838925
12/29/17,741488
12/28/17,749191
12/27/17,605853
12/26/17,565074
12/25/17,652209
12/24/17,729637
12/23/17,890731
12/22/17,840739
12/21/17,853863
12/20/17,887697
12/19/17,922523
12/18/17,877464
12/17/17,819304
12/16/17,942513
12/15/17,1072861
12/14/17,958476
12/13/17,867771
12/12/17,867654
12/11/17,739391
12/10/17,877574
12/9/17,902011
12/8/17,869098
12/7/17,978251
12/6/17,891235
12/5/17,885109
12/4/17,762992
12/3/17,683882
12/2/17,869274
12/1/17,851419
11/30/17,903004
11/29/17,816744
11/28/17,829650
11/27/17,712606
11/26/17,697525
11/25/17,698358
11/24/17,747161
11/23/17,673818
11/22/17,753813
11/21/17,734768
11/20/17,603429
11/19/17,614839
11/18/17,684253
11/17/17,677301
11/16/17,709142
11/15/17,604054
11/14/17,694828
11/13/17,467890
11/12/17,455431
11/11/17,619943
11/10/17,727945
11/9/17,646100
11/8/17,714349
11/7/17,608650
11/6/17,555458
11/5/17,588058
11/4/17,670928
11/3/17,704944
11/2/17,733878
11/1/17,611373
10/31/17,672642
10/30/17,666706
10/29/17,440621
10/28/17,552374
10/27/17,555497
10/26/17,636240
10/25/17,716443
10/24/17,640545
10/23/17,573796
10/22/17,606416
10/21/17,644654
10/20/17,692404
10/19/17,646477
10/18/17,670954
10/17/17,643456
10/16/17,578160
10/15/17,594481
10/14/17,660223
10/13/17,588009
10/12/17,604454
10/11/17,613363
10/10/17,585027
10/9/17,496285
10/8/17,505784
10/7/17,609682
10/6/17,552622
10/5/17,496067
10/4/17,591541
10/3/17,606137
10/2/17,416589
10/1/17,467807
9/30/17,569237
9/29/17,561792
9/28/17,548154
9/27/17,544621
9/26/17,505248
9/25/17,383448
9/24/17,427804
9/23/17,515183
9/22/17,533108
9/21/17,480582
9/20/17,578178
9/19/17,481944
9/18/17,433778
9/17/17,486762
9/16/17,637364
9/15/17,552954
9/14/17,543777
9/13/17,549109
9/12/17,537474
9/11/17,412029
9/10/17,452503
9/9/17,606485
9/8/17,526959
9/7/17,587813
9/6/17,601576
9/5/17,561328
9/4/17,437076
9/3/17,536081
9/2/17,591520
9/1/17,589297
8/31/17,565808
8/30/17,593017
8/29/17,504370
8/28/17,509082
8/27/17,472784
8/26/17,471224
8/25/17,423332
8/24/17,628516
8/23/17,419158
8/22/17,501755
8/21/17,444725
8/20/17,535350
8/19/17,580732
8/18/17,631515
8/17/17,543436
8/16/17,650899
8/15/17,542909
8/14/17,516470
8/13/17,530699
8/12/17,580987
8/11/17,550474
8/10/17,532314
8/9/17,587787
8/8/17,512717
8/7/17,408435
8/6/17,463849
8/5/17,467900
8/4/17,427728
8/3/17,403175
8/2/17,301131
8/1/17,485988
7/31/17,386558
7/30/17,416822
7/29/17,487086
7/28/17,443425
7/27/17,460146
7/26/17,511831
7/25/17,469352
7/24/17,353197
7/23/17,433135
7/22/17,542764
7/21/17,477427
7/20/17,519400
7/19/17,561055
7/18/17,475431
7/17/17,406436
7/16/17,446599
7/15/17,473082
7/14/17,489848
7/13/17,513002
7/12/17,563334
7/11/17,567052
7/10/17,390402
7/9/17,451048
7/8/17,559413
7/7/17,459294
7/6/17,476016
7/5/17,548401
7/4/17,497458
7/3/17,497458
7/2/17,409305
7/1/17,533427
6/30/17,467647
6/29/17,549136
6/28/17,556158
6/27/17,515883
6/26/17,378448
6/25/17,469727
6/24/17,506612
6/23/17,534177
6/22/17,585194
6/21/17,594425
6/20/17,532642
6/19/17,433246
6/18/17,477378
6/17/17,536165
6/16/17,577610
6/15/17,565868
6/14/17,611325
6/13/17,538624
6/12/17,467561
6/11/17,516474
6/10/17,571964
6/9/17,609712
6/8/17,657364
6/7/17,617593
6/6/17,576032
6/5/17,537387
6/4/17,601583
6/3/17,534561
6/2/17,610354
6/1/17,614126
5/31/17,634488
5/30/17,594355
5/29/17,592662
5/28/17,651462
5/27/17,641520
5/26/17,659055
5/25/17,631835
5/24/17,687290
5/23/17,604610
5/22/17,608719
5/21/17,646325
5/20/17,633617
5/19/17,570189
5/18/17,591515
5/17/17,453290
5/16/17,636246
5/15/17,691330
5/14/17,623293
5/13/17,600568
5/12/17,568521
5/11/17,592447
5/10/17,621156
5/9/17,691480
5/8/17,581369
5/7/17,677421
5/6/17,523629
5/5/17,676230
5/4/17,547221
5/3/17,609090
5/2/17,542847
5/1/17,526652
4/30/17,634025
4/29/17,582826
4/28/17,554691
4/27/17,606556
4/26/17,580200
4/25/17,449880
4/24/17,490003
4/23/17,530089
4/22/17,612635
4/21/17,491206
4/20/17,566248
4/19/17,553138
4/18/17,469209
4/17/17,429263
4/16/17,520821
4/15/17,558990
4/14/17,449521
4/13/17,548651
4/12/17,582103
4/11/17,548200
4/10/17,489532
4/9/17,468193
4/8/17,542131
4/7/17,548639
4/6/17,577216
4/5/17,496730
4/4/17,564024
4/3/17,501562
4/2/17,502790
4/1/17,489451
3/31/17,521047
3/30/17,534779
3/29/17,553956
3/28/17,459507
3/27/17,468755
3/26/17,490876
3/25/17,540389
3/24/17,537474
3/23/17,572753
3/22/17,541181
3/21/17,512637
3/20/17,512175
3/19/17,505650
3/18/17,532933
3/17/17,594405
3/16/17,526478
3/15/17,561534
3/14/17,516184
3/13/17,422478
3/12/17,518975
3/11/17,551014
3/10/17,541481
3/9/17,526232
3/8/17,571328
3/7/17,537228
3/6/17,524842
3/5/17,489871
3/4/17,583122
3/3/17,565741
3/2/17,531642
3/1/17,542156
2/28/17,501496
2/27/17,462926
2/26/17,561871
2/25/17,590852
2/24/17,551454
2/23/17,489247
2/22/17,487720
2/21/17,503952
2/20/17,458998
2/19/17,510385
2/18/17,550072
2/17/17,489189
2/16/17,495896
2/15/17,530239
2/14/17,503160
2/13/17,422084
2/12/17,474676
2/11/17,507435
2/10/17,575007
2/9/17,516490
2/8/17,557390
2/7/17,440409
2/6/17,510277
2/5/17,500098
2/4/17,560374
2/3/17,452585
2/2/17,599052
2/1/17,523036
1/31/17,449341
1/30/17,438727
1/29/17,461291
1/28/17,462950
1/27/17,518118
1/26/17,514638
1/25/17,497858
1/24/17,426712
1/23/17,428797
1/22/17,484668
1/21/17,516009
1/20/17,516338
1/19/17,500305
1/18/17,502461
1/17/17,473646
1/16/17,417278
1/15/17,446468
1/14/17,466560
1/13/17,483077
