Date,Value
11/18/17,306617
11/17/17,310396
11/16/17,321788
11/15/17,271995
11/14/17,309299
11/13/17,185966
11/12/17,194634
11/11/17,271745
11/10/17,341281
11/9/17,301346
11/8/17,335636
11/7/17,271029
11/6/17,251728
11/5/17,294121
11/4/17,277598
11/3/17,341474
11/2/17,241788
11/1/17,277535
10/31/17,316077
10/30/17,334025
10/29/17,207066
10/28/17,246692
10/27/17,265827
10/26/17,315415
10/25/17,347220
10/24/17,316096
10/23/17,289131
10/22/17,312257
10/21/17,312409
10/20/17,356985
10/19/17,329579
10/18/17,334438
10/17/17,314725
10/16/17,283473
10/15/17,293140
10/14/17,309819
10/13/17,293164
10/12/17,292459
10/11/17,303101
10/10/17,296946
10/9/17,238385
10/8/17,231226
10/7/17,283699
10/6/17,273243
10/5/17,232826
10/4/17,282132
10/3/17,295002
10/2/17,203653
10/1/17,212678
9/30/17,254438
9/29/17,275976
9/28/17,257961
9/27/17,263648
9/26/17,226603
9/25/17,185277
9/24/17,203861
9/23/17,227615
9/22/17,255257
9/21/17,235723
9/20/17,282917
9/19/17,218204
9/18/17,197683
9/17/17,228257
9/16/17,292079
9/15/17,268068
9/14/17,263320
9/13/17,256230
9/12/17,253492
9/11/17,193240
9/10/17,217890
9/9/17,279488
9/8/17,256374
9/7/17,276225
9/6/17,277948
9/5/17,269280
9/4/17,195289
9/3/17,236811
9/2/17,283670
9/1/17,280724
8/31/17,271466
8/30/17,281116
8/29/17,223771
8/28/17,261891
8/27/17,226485
8/26/17,208169
8/25/17,203805
8/24/17,315734
8/23/17,196283
8/22/17,236772
8/21/17,210852
8/20/17,266832
8/19/17,312250
8/18/17,347319
8/17/17,274866
8/16/17,311002
8/15/17,255362
8/14/17,263310
8/13/17,260521
8/12/17,284001
8/11/17,257965
8/10/17,260955
8/9/17,275574
8/8/17,249002
8/7/17,199627
8/6/17,239771
8/5/17,235792
8/4/17,213017
8/3/17,209321
8/2/17,131875
8/1/17,231012
7/31/17,184145
7/30/17,211134
7/29/17,247207
7/28/17,225369
7/27/17,237853
7/26/17,244036
7/25/17,240072
7/24/17,181031
7/23/17,223358
7/22/17,268443
7/21/17,230199
7/20/17,253768
7/19/17,260575
7/18/17,230315
7/17/17,203165
7/16/17,221851
7/15/17,227903
7/14/17,245895
7/13/17,257138
7/12/17,265759
7/11/17,251722
7/10/17,188124
7/9/17,220835
7/8/17,243614
7/7/17,225106
7/6/17,237008
7/5/17,255483
7/4/17,253244
7/3/17,253244
7/2/17,196539
7/1/17,267360
6/30/17,231054
6/29/17,279811
6/28/17,259737
6/27/17,261906
6/26/17,180719
6/25/17,227127
6/24/17,259938
6/23/17,269685
6/22/17,280203
6/21/17,269438
6/20/17,269774
6/19/17,209359
6/18/17,236554
6/17/17,269937
6/16/17,293141
6/15/17,287644
6/14/17,291776
6/13/17,269098
6/12/17,222892
6/11/17,254993
6/10/17,282184
6/9/17,307377
6/8/17,339720
6/7/17,297416
6/6/17,289930
6/5/17,266044
6/4/17,305320
6/3/17,271539
6/2/17,319709
6/1/17,321634
5/31/17,347961
5/30/17,321638
5/29/17,308143
5/28/17,331914
5/27/17,333340
5/26/17,350114
5/25/17,338642
5/24/17,367710
5/23/17,327868
5/22/17,326057
5/21/17,352805
5/20/17,319502
5/19/17,288904
5/18/17,317527
5/17/17,233977
5/16/17,329229
5/15/17,369098
5/14/17,329266
5/13/17,317698
5/12/17,294743
5/11/17,311391
5/10/17,332879
5/9/17,365096
5/8/17,316011
5/7/17,363022
5/6/17,267193
5/5/17,354737
5/4/17,295149
5/3/17,333161
5/2/17,294786
5/1/17,281489
4/30/17,341319
4/29/17,305271
4/28/17,297884
4/27/17,334471
4/26/17,325387
4/25/17,222671
4/24/17,245039
4/23/17,268712
4/22/17,330354
4/21/17,269625
4/20/17,310104
4/19/17,303091
4/18/17,245184
4/17/17,211829
4/16/17,271976
4/15/17,290208
4/14/17,228679
4/13/17,278093
4/12/17,307893
4/11/17,275496
4/10/17,238286
4/9/17,226959
4/8/17,295463
4/7/17,290465
4/6/17,316555
4/5/17,256015
4/4/17,288141
4/3/17,244203
4/2/17,255871
4/1/17,259403
3/31/17,288788
3/30/17,283931
3/29/17,294001
3/28/17,232291
3/27/17,221915
3/26/17,242975
3/25/17,289521
3/24/17,287871
3/23/17,320713
3/22/17,288055
3/21/17,277033
3/20/17,271239
3/19/17,263530
3/18/17,292196
3/17/17,327034
3/16/17,292434
3/15/17,310395
3/14/17,273079
3/13/17,221110
3/12/17,280681
3/11/17,308482
3/10/17,303632
3/9/17,297108
3/8/17,327902
3/7/17,287731
3/6/17,280739
3/5/17,268875
3/4/17,337310
3/3/17,329428
3/2/17,315883
3/1/17,325414
2/28/17,284555
2/27/17,265203
2/26/17,326521
2/25/17,350751
2/24/17,325913
2/23/17,284024
2/22/17,279090
2/21/17,282728
2/20/17,251721
2/19/17,288149
2/18/17,319767
2/17/17,285329
2/16/17,294786
2/15/17,315084
2/14/17,288290
2/13/17,238182
2/12/17,262686
2/11/17,304456
2/10/17,346544
2/9/17,308316
2/8/17,325268
2/7/17,230027
2/6/17,292101
2/5/17,286326
2/4/17,323563
2/3/17,259559
2/2/17,350560
2/1/17,307683
1/31/17,250829
1/30/17,241627
1/29/17,246395
1/28/17,263332
1/27/17,317904
1/26/17,305961
1/25/17,278177
1/24/17,236692
1/23/17,236886
1/22/17,263562
1/21/17,298377
1/20/17,300605
1/19/17,298751
1/18/17,292697
1/17/17,267640
1/16/17,235999
1/15/17,242269
1/14/17,275149
1/13/17,297756
1/12/17,303058
1/11/17,323888
1/10/17,269947
1/9/17,260101
1/8/17,284719
1/7/17,346405
1/6/17,288501
1/5/17,330164
1/4/17,301664
1/3/17,293682
1/2/17,180502
1/1/17,250273
12/31/16,286818
12/30/16,304605
12/29/16,305394
12/28/16,296546
12/27/16,244914
12/26/16,199614
